cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the cl selected dataset.
load parameters
------------------ Start to select subsets ------------------
Selected 50 percent training data.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/79   Step: 1m1s | Tot: 0ms | Loss: 0.635 | Acc: 82.812% (212/256)              
 [>................................................................] 2/79   Step: 2s119ms | Tot: 2s119ms | Loss: 0.651 | Acc: 82.812% (424/512)              
 [=>...............................................................] 3/79   Step: 973ms | Tot: 3s92ms | Loss: 0.672 | Acc: 83.073% (638/768)              
 [==>..............................................................] 4/79   Step: 1s133ms | Tot: 4s226ms | Loss: 0.676 | Acc: 83.203% (852/1024)              
 [===>.............................................................] 5/79   Step: 965ms | Tot: 5s191ms | Loss: 0.662 | Acc: 83.984% (1075/1280)              
 [====>............................................................] 6/79   Step: 964ms | Tot: 6s155ms | Loss: 0.702 | Acc: 83.398% (1281/1536)              
 [====>............................................................] 7/79   Step: 962ms | Tot: 7s118ms | Loss: 0.681 | Acc: 83.817% (1502/1792)              
 [=====>...........................................................] 8/79   Step: 966ms | Tot: 8s85ms | Loss: 0.674 | Acc: 83.789% (1716/2048)              
 [======>..........................................................] 9/79   Step: 1s59ms | Tot: 9s144ms | Loss: 0.667 | Acc: 83.984% (1935/2304)              
 [=======>.........................................................] 10/79   Step: 964ms | Tot: 10s109ms | Loss: 0.655 | Acc: 84.258% (2157/2560)              
 [========>........................................................] 11/79   Step: 978ms | Tot: 11s87ms | Loss: 0.647 | Acc: 84.375% (2376/2816)              
 [=========>.......................................................] 12/79   Step: 961ms | Tot: 12s49ms | Loss: 0.635 | Acc: 84.766% (2604/3072)              
 [=========>.......................................................] 13/79   Step: 1s65ms | Tot: 13s115ms | Loss: 0.629 | Acc: 84.976% (2828/3328)              
 [======================>..........................................] 15/40   Step: 416ms | Tot: 6s118ms | Loss: 1.297 | Acc: 69.297% (2661/3840)              
 [========================>........................................] 16/40   Step: 416ms | Tot: 6s534ms | Loss: 1.298 | Acc: 69.238% (2836/4096)              
 [==========================>......................................] 17/40   Step: 513ms | Tot: 7s48ms | Loss: 1.303 | Acc: 69.187% (3011/4352)              
 [===========================>.....................................] 18/40   Step: 416ms | Tot: 7s464ms | Loss: 1.299 | Acc: 69.271% (3192/4608)              
 [=============================>...................................] 19/40   Step: 416ms | Tot: 7s881ms | Loss: 1.313 | Acc: 69.017% (3357/4864)              
 [==============================>..................................] 20/40   Step: 414ms | Tot: 8s296ms | Loss: 1.303 | Acc: 69.141% (3540/5120)              
 [================================>................................] 21/40   Step: 416ms | Tot: 8s712ms | Loss: 1.307 | Acc: 69.196% (3720/5376)              
 [==================================>..............................] 22/40   Step: 414ms | Tot: 9s127ms | Loss: 1.304 | Acc: 69.318% (3904/5632)              
 [===================================>.............................] 23/40   Step: 515ms | Tot: 9s643ms | Loss: 1.314 | Acc: 69.310% (4081/5888)              
 [=====================================>...........................] 24/40   Step: 414ms | Tot: 10s57ms | Loss: 1.317 | Acc: 69.206% (4252/6144)              
 [=======================================>.........................] 25/40   Step: 415ms | Tot: 10s473ms | Loss: 1.317 | Acc: 69.125% (4424/6400)              
 [========================================>........................] 26/40   Step: 415ms | Tot: 10s888ms | Loss: 1.315 | Acc: 69.126% (4601/6656)              
 [==========================================>......................] 27/40   Step: 415ms | Tot: 11s304ms | Loss: 1.319 | Acc: 69.010% (4770/6912)              
 [===========================================>.....................] 28/40   Step: 414ms | Tot: 11s719ms | Loss: 1.312 | Acc: 69.085% (4952/7168)              
 [=============================================>...................] 29/40   Step: 513ms | Tot: 12s233ms | Loss: 1.311 | Acc: 69.060% (5127/7424)              
 [===============================================>.................] 30/40   Step: 415ms | Tot: 12s648ms | Loss: 1.310 | Acc: 69.102% (5307/7680)              
 [================================================>................] 31/40   Step: 415ms | Tot: 13s64ms | Loss: 1.314 | Acc: 69.090% (5483/7936)              
 [==================================================>..............] 32/40   Step: 414ms | Tot: 13s479ms | Loss: 1.316 | Acc: 69.019% (5654/8192)              
 [====================================================>............] 33/40   Step: 414ms | Tot: 13s893ms | Loss: 1.318 | Acc: 68.963% (5826/8448)              
 [=====================================================>...........] 34/40   Step: 414ms | Tot: 14s307ms | Loss: 1.328 | Acc: 68.784% (5987/8704)              
 [=======================================================>.........] 35/40   Step: 528ms | Tot: 14s835ms | Loss: 1.329 | Acc: 68.806% (6165/8960)              
 [========================================================>........] 36/40   Step: 379ms | Tot: 15s215ms | Loss: 1.326 | Acc: 68.859% (6346/9216)              
 [==========================================================>......] 37/40   Step: 371ms | Tot: 15s587ms | Loss: 1.333 | Acc: 68.771% (6514/9472)              
 [============================================================>....] 38/40   Step: 371ms | Tot: 15s958ms | Loss: 1.322 | Acc: 68.945% (6707/9728)              
 [=============================================================>...] 39/40   Step: 371ms | Tot: 16s329ms | Loss: 1.328 | Acc: 68.910% (6880/9984)              
 [===============================================================>.] 40/40   Step: 2s339ms | Tot: 18s668ms | Loss: 1.328 | Acc: 68.920% (6892/10000)
Saving with better validation accuracy model: 68.920..

Epoch: 1
 [>................................................................] 1/79   Step: 3s417ms | Tot: 0ms | Loss: 0.477 | Acc: 88.281% (226/256)              
 [>................................................................] 2/79   Step: 970ms | Tot: 970ms | Loss: 0.511 | Acc: 87.109% (446/512)              
 [=>...............................................................] 3/79   Step: 967ms | Tot: 1s938ms | Loss: 0.488 | Acc: 87.500% (672/768)              
 [==>..............................................................] 4/79   Step: 985ms | Tot: 2s924ms | Loss: 0.465 | Acc: 88.086% (902/1024)              
 [===>.............................................................] 5/79   Step: 1s66ms | Tot: 3s990ms | Loss: 0.462 | Acc: 87.812% (1124/1280)              
 [====>............................................................] 6/79   Step: 968ms | Tot: 4s958ms | Loss: 0.448 | Acc: 88.216% (1355/1536)              
 [====>............................................................] 7/79   Step: 969ms | Tot: 5s927ms | Loss: 0.440 | Acc: 88.281% (1582/1792)              
 [=====>...........................................................] 8/79   Step: 968ms | Tot: 6s896ms | Loss: 0.423 | Acc: 88.721% (1817/2048)              
 [======>..........................................................] 9/79   Step: 965ms | Tot: 7s862ms | Loss: 0.410 | Acc: 89.106% (2053/2304)              
 [=======>.........................................................] 10/79   Step: 1s62ms | Tot: 8s924ms | Loss: 0.404 | Acc: 89.336% (2287/2560)              
 [========>........................................................] 11/79   Step: 965ms | Tot: 9s890ms | Loss: 0.392 | Acc: 89.489% (2520/2816)              
 [=========>.......................................................] 12/79   Step: 962ms | Tot: 10s852ms | Loss: 0.386 | Acc: 89.421% (2747/3072)              
 [=========>.......................................................] 13/79   Step: 966ms | Tot: 11s818ms | Loss: 0.382 | Acc: 89.423% (2976/3328)              
 [==========>......................................................] 14/79   Step: 1s84ms | Tot: 12s902ms | Loss: 0.378 | Acc: 89.425% (3205/3584)              
 [===========>.....................................................] 15/79   Step: 961ms | Tot: 13s864ms | Loss: 0.383 | Acc: 89.375% (3432/3840)              
 [============>....................................................] 16/79   Step: 962ms | Tot: 14s826ms | Loss: 0.386 | Acc: 89.185% (3653/4096)              
 [=============>...................................................] 17/79   Step: 961ms | Tot: 15s788ms | Loss: 0.388 | Acc: 89.246% (3884/4352)              
 [=============>...................................................] 18/79   Step: 961ms | Tot: 16s750ms | Loss: 0.390 | Acc: 89.171% (4109/4608)              
 [==============>..................................................] 19/79   Step: 1s66ms | Tot: 17s816ms | Loss: 0.389 | Acc: 89.309% (4344/4864)              
 [===============>.................................................] 20/79   Step: 963ms | Tot: 18s780ms | Loss: 0.394 | Acc: 89.082% (4561/5120)              
 [================>................................................] 21/79   Step: 976ms | Tot: 19s756ms | Loss: 0.394 | Acc: 89.137% (4792/5376)              
 [=================>...............................................] 22/79   Step: 969ms | Tot: 20s726ms | Loss: 0.398 | Acc: 89.009% (5013/5632)              
 [==================>..............................................] 23/79   Step: 1s69ms | Tot: 21s796ms | Loss: 0.400 | Acc: 89.029% (5242/5888)              
 [==================>..............................................] 24/79   Step: 990ms | Tot: 22s787ms | Loss: 0.401 | Acc: 89.062% (5472/6144)              
 [===================>.............................................] 25/79   Step: 964ms | Tot: 23s751ms | Loss: 0.401 | Acc: 89.109% (5703/6400)              
 [====================>............................................] 26/79   Step: 963ms | Tot: 24s714ms | Loss: 0.401 | Acc: 89.138% (5933/6656)              
 [=====================>...........................................] 27/79   Step: 969ms | Tot: 25s683ms | Loss: 0.398 | Acc: 89.236% (6168/6912)              
 [======================>..........................................] 28/79   Step: 1s112ms | Tot: 26s796ms | Loss: 0.392 | Acc: 89.355% (6405/7168)              
 [=======================>.........................................] 29/79   Step: 969ms | Tot: 27s765ms | Loss: 0.390 | Acc: 89.440% (6640/7424)              
 [=======================>.........................................] 30/79   Step: 966ms | Tot: 28s731ms | Loss: 0.388 | Acc: 89.440% (6869/7680)              
 [========================>........................................] 31/79   Step: 962ms | Tot: 29s694ms | Loss: 0.386 | Acc: 89.466% (7100/7936)              
 [=========================>.......................................] 32/79   Step: 964ms | Tot: 30s659ms | Loss: 0.387 | Acc: 89.478% (7330/8192)              
 [==========================>......................................] 33/79   Step: 1s63ms | Tot: 31s722ms | Loss: 0.388 | Acc: 89.453% (7557/8448)              
 [===========================>.....................................] 34/79   Step: 971ms | Tot: 32s693ms | Loss: 0.389 | Acc: 89.407% (7782/8704)              
 [===========================>.....................................] 35/79   Step: 971ms | Tot: 33s664ms | Loss: 0.389 | Acc: 89.397% (8010/8960)              
 [============================>....................................] 36/79   Step: 965ms | Tot: 34s630ms | Loss: 0.389 | Acc: 89.345% (8234/9216)              
 [=============================>...................................] 37/79   Step: 1s60ms | Tot: 35s690ms | Loss: 0.391 | Acc: 89.316% (8460/9472)              
 [==============================>..................................] 38/79   Step: 963ms | Tot: 36s654ms | Loss: 0.391 | Acc: 89.361% (8693/9728)              
 [===============================>.................................] 39/79   Step: 967ms | Tot: 37s622ms | Loss: 0.389 | Acc: 89.413% (8927/9984)              
 [================================>................................] 40/79   Step: 971ms | Tot: 38s594ms | Loss: 0.388 | Acc: 89.473% (9162/10240)              
 [================================>................................] 41/79   Step: 964ms | Tot: 39s558ms | Loss: 0.388 | Acc: 89.472% (9391/10496)              
 [=================================>...............................] 42/79   Step: 1s66ms | Tot: 40s625ms | Loss: 0.388 | Acc: 89.518% (9625/10752)              
 [==================================>..............................] 43/79   Step: 965ms | Tot: 41s590ms | Loss: 0.388 | Acc: 89.553% (9858/11008)              
 [===================================>.............................] 44/79   Step: 962ms | Tot: 42s552ms | Loss: 0.387 | Acc: 89.577% (10090/11264)              
 [====================================>............................] 45/79   Step: 975ms | Tot: 43s528ms | Loss: 0.388 | Acc: 89.549% (10316/11520)              
 [=====================================>...........................] 46/79   Step: 970ms | Tot: 44s499ms | Loss: 0.387 | Acc: 89.555% (10546/11776)              
 [=====================================>...........................] 47/79   Step: 1s65ms | Tot: 45s565ms | Loss: 0.389 | Acc: 89.495% (10768/12032)              
 [======================================>..........................] 48/79   Step: 964ms | Tot: 46s529ms | Loss: 0.388 | Acc: 89.543% (11003/12288)              
 [=======================================>.........................] 49/79   Step: 965ms | Tot: 47s494ms | Loss: 0.389 | Acc: 89.557% (11234/12544)              
 [========================================>........................] 50/79   Step: 964ms | Tot: 48s458ms | Loss: 0.389 | Acc: 89.539% (11461/12800)              
 [=========================================>.......................] 51/79   Step: 1s65ms | Tot: 49s524ms | Loss: 0.389 | Acc: 89.530% (11689/13056)              
 [=========================================>.......................] 52/79   Step: 967ms | Tot: 50s491ms | Loss: 0.388 | Acc: 89.573% (11924/13312)              
 [==========================================>......................] 53/79   Step: 961ms | Tot: 51s452ms | Loss: 0.386 | Acc: 89.608% (12158/13568)              
 [===========================================>.....................] 54/79   Step: 963ms | Tot: 52s416ms | Loss: 0.386 | Acc: 89.612% (12388/13824)              
 [============================================>....................] 55/79   Step: 986ms | Tot: 53s403ms | Loss: 0.387 | Acc: 89.595% (12615/14080)              
 [=============================================>...................] 56/79   Step: 1s62ms | Tot: 54s465ms | Loss: 0.386 | Acc: 89.607% (12846/14336)              
 [==============================================>..................] 57/79   Step: 962ms | Tot: 55s428ms | Loss: 0.387 | Acc: 89.624% (13078/14592)              
 [==============================================>..................] 58/79   Step: 959ms | Tot: 56s387ms | Loss: 0.386 | Acc: 89.635% (13309/14848)              
 [===============================================>.................] 59/79   Step: 967ms | Tot: 57s355ms | Loss: 0.384 | Acc: 89.672% (13544/15104)              
 [================================================>................] 60/79   Step: 1s68ms | Tot: 58s423ms | Loss: 0.386 | Acc: 89.622% (13766/15360)              
 [=================================================>...............] 61/79   Step: 961ms | Tot: 59s384ms | Loss: 0.386 | Acc: 89.620% (13995/15616)              
 [==================================================>..............] 62/79   Step: 964ms | Tot: 1m349ms | Loss: 0.385 | Acc: 89.642% (14228/15872)              
 [===================================================>.............] 63/79   Step: 960ms | Tot: 1m1s | Loss: 0.386 | Acc: 89.621% (14454/16128)              
 [===================================================>.............] 64/79   Step: 959ms | Tot: 1m2s | Loss: 0.386 | Acc: 89.642% (14687/16384)              
 [====================================================>............] 65/79   Step: 1s78ms | Tot: 1m3s | Loss: 0.385 | Acc: 89.651% (14918/16640)              
 [=====================================================>...........] 66/79   Step: 966ms | Tot: 1m4s | Loss: 0.385 | Acc: 89.631% (15144/16896)              
 [======================================================>..........] 67/79   Step: 966ms | Tot: 1m5s | Loss: 0.386 | Acc: 89.611% (15370/17152)              
 [=======================================================>.........] 68/79   Step: 962ms | Tot: 1m6s | Loss: 0.385 | Acc: 89.683% (15612/17408)              
 [=======================================================>.........] 69/79   Step: 962ms | Tot: 1m7s | Loss: 0.386 | Acc: 89.651% (15836/17664)              
 [========================================================>........] 70/79   Step: 1s61ms | Tot: 1m8s | Loss: 0.387 | Acc: 89.621% (16060/17920)              
 [=========================================================>.......] 71/79   Step: 962ms | Tot: 1m9s | Loss: 0.387 | Acc: 89.635% (16292/18176)              
 [==========================================================>......] 72/79   Step: 963ms | Tot: 1m10s | Loss: 0.385 | Acc: 89.681% (16530/18432)              
 [===========================================================>.....] 73/79   Step: 960ms | Tot: 1m11s | Loss: 0.385 | Acc: 89.678% (16759/18688)              
 [============================================================>....] 74/79   Step: 1s69ms | Tot: 1m12s | Loss: 0.384 | Acc: 89.691% (16991/18944)              
 [============================================================>....] 75/79   Step: 880ms | Tot: 1m13s | Loss: 0.384 | Acc: 89.682% (17219/19200)              
 [=============================================================>...] 76/79   Step: 856ms | Tot: 1m13s | Loss: 0.385 | Acc: 89.684% (17449/19456)              
 [==============================================================>..] 77/79   Step: 852ms | Tot: 1m14s | Loss: 0.385 | Acc: 89.656% (17673/19712)              
 [===============================================================>.] 78/79   Step: 850ms | Tot: 1m15s | Loss: 0.385 | Acc: 89.643% (17900/19968)              
 [================================================================>] 79/79   Step: 1s36ms | Tot: 1m16s | Loss: 0.386 | Acc: 89.630% (17926/20000)
 [>................................................................] 1/40   Step: 1s103ms | Tot: 0ms | Loss: 1.051 | Acc: 71.484% (183/256)              
 [=>...............................................................] 2/40   Step: 420ms | Tot: 420ms | Loss: 1.061 | Acc: 72.266% (370/512)              
 [===>.............................................................] 3/40   Step: 417ms | Tot: 837ms | Loss: 1.135 | Acc: 71.224% (547/768)              
 [====>............................................................] 4/40   Step: 415ms | Tot: 1s252ms | Loss: 1.142 | Acc: 71.582% (733/1024)              
 [======>..........................................................] 5/40   Step: 416ms | Tot: 1s669ms | Loss: 1.203 | Acc: 70.469% (902/1280)              
 [========>........................................................] 6/40   Step: 569ms | Tot: 2s238ms | Loss: 1.205 | Acc: 71.159% (1093/1536)              
 [=========>.......................................................] 7/40   Step: 420ms | Tot: 2s659ms | Loss: 1.231 | Acc: 70.926% (1271/1792)              
 [===========>.....................................................] 8/40   Step: 415ms | Tot: 3s75ms | Loss: 1.224 | Acc: 70.850% (1451/2048)              
 [=============>...................................................] 9/40   Step: 415ms | Tot: 3s490ms | Loss: 1.223 | Acc: 70.877% (1633/2304)              
 [==============>..................................................] 10/40   Step: 415ms | Tot: 3s906ms | Loss: 1.225 | Acc: 70.859% (1814/2560)              
 [================>................................................] 11/40   Step: 415ms | Tot: 4s321ms | Loss: 1.237 | Acc: 70.774% (1993/2816)              
 [=================>...............................................] 12/40   Step: 515ms | Tot: 4s836ms | Loss: 1.246 | Acc: 70.573% (2168/3072)              
